path,file,round,subject,session,task
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1156_S2_1_VRG.csv,S_1156_S2_1_VRG.csv,1,156,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1397_S2_1_VRG.csv,S_1397_S2_1_VRG.csv,1,397,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1342_S1_1_VRG.csv,S_1342_S1_1_VRG.csv,1,342,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1051_S2_1_VRG.csv,S_1051_S2_1_VRG.csv,1,51,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3424_S1_1_VRG.csv,S_3424_S1_1_VRG.csv,3,424,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1333_S2_1_VRG.csv,S_1333_S2_1_VRG.csv,1,333,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1394_S2_1_VRG.csv,S_1394_S2_1_VRG.csv,1,394,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1267_S2_1_VRG.csv,S_1267_S2_1_VRG.csv,1,267,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1455_S1_1_VRG.csv,S_1455_S1_1_VRG.csv,1,455,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1369_S2_1_VRG.csv,S_1369_S2_1_VRG.csv,1,369,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1218_S2_1_VRG.csv,S_1218_S2_1_VRG.csv,1,218,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1360_S1_1_VRG.csv,S_1360_S1_1_VRG.csv,1,360,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1048_S2_1_VRG.csv,S_1048_S2_1_VRG.csv,1,48,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1196_S1_1_VRG.csv,S_1196_S1_1_VRG.csv,1,196,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3284_S2_1_VRG.csv,S_3284_S2_1_VRG.csv,3,284,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1139_S2_1_VRG.csv,S_1139_S2_1_VRG.csv,1,139,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1321_S1_1_VRG.csv,S_1321_S1_1_VRG.csv,1,321,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1101_S1_1_VRG.csv,S_1101_S1_1_VRG.csv,1,101,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1022_S1_1_VRG.csv,S_1022_S1_1_VRG.csv,1,22,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_2308_S1_1_VRG.csv,S_2308_S1_1_VRG.csv,2,308,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1220_S1_1_VRG.csv,S_1220_S1_1_VRG.csv,1,220,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1435_S1_1_VRG.csv,S_1435_S1_1_VRG.csv,1,435,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1192_S2_1_VRG.csv,S_1192_S2_1_VRG.csv,1,192,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1247_S1_1_VRG.csv,S_1247_S1_1_VRG.csv,1,247,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1150_S1_1_VRG.csv,S_1150_S1_1_VRG.csv,1,150,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1401_S1_1_VRG.csv,S_1401_S1_1_VRG.csv,1,401,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3298_S2_1_VRG.csv,S_3298_S2_1_VRG.csv,3,298,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3147_S1_1_VRG.csv,S_3147_S1_1_VRG.csv,3,147,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1119_S1_1_VRG.csv,S_1119_S1_1_VRG.csv,1,119,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1433_S1_1_VRG.csv,S_1433_S1_1_VRG.csv,1,433,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1420_S2_1_VRG.csv,S_1420_S2_1_VRG.csv,1,420,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1260_S2_1_VRG.csv,S_1260_S2_1_VRG.csv,1,260,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_2014_S1_1_VRG.csv,S_2014_S1_1_VRG.csv,2,14,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_3433_S1_1_VRG.csv,S_3433_S1_1_VRG.csv,3,433,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1332_S2_1_VRG.csv,S_1332_S2_1_VRG.csv,1,332,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1384_S2_1_VRG.csv,S_1384_S2_1_VRG.csv,1,384,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1105_S1_1_VRG.csv,S_1105_S1_1_VRG.csv,1,105,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1261_S2_1_VRG.csv,S_1261_S2_1_VRG.csv,1,261,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1194_S2_1_VRG.csv,S_1194_S2_1_VRG.csv,1,194,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_2009_S1_1_VRG.csv,S_2009_S1_1_VRG.csv,2,9,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1120_S2_1_VRG.csv,S_1120_S2_1_VRG.csv,1,120,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1203_S1_1_VRG.csv,S_1203_S1_1_VRG.csv,1,203,1,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1268_S2_1_VRG.csv,S_1268_S2_1_VRG.csv,1,268,2,VRG
/kaggle/input/datasets/aakkaya/gazebasevr-raw/data/S_1102_S2_1_VRG.csv,S_1102_S2_1_VRG.csv,1,102,2,VRG
