valid_frac,corr,ddem,n_conv,n_div,conv_latency_ms,conv_gain,conv_peakvel,conv_settle_ms,div_latency_ms,div_gain,div_peakvel,div_settle_ms,subject,round,session,file
0.889297385620915,0.7007353065178629,1.8035163492167836,11,11,208.0,1.4663017454551606,64.00502630554405,368.0,228.0,1.5494009987831479,43.476744716360756,436.0,213,1,1,S_1213_S1_1_VRG.csv
0.9763297693497411,0.707707385879386,1.8611302984203686,11,11,240.0,1.5731606405488068,64.35403216566216,448.0,232.0,1.6409384253626416,50.98293640364526,392.0,440,1,1,S_1440_S1_1_VRG.csv
0.9907003966963647,0.7562495972568134,1.9213885477079788,11,11,220.0,1.026140085967435,13.822225494861895,432.0,212.0,1.033673740100575,15.175297308571588,400.0,214,1,2,S_1214_S2_1_VRG.csv
0.9309355398371814,0.7208096869751518,1.9334643158333051,11,11,188.0,1.1365097630587888,54.90923198123965,420.0,220.0,1.1239702813135704,52.011579856428455,352.0,339,1,1,S_1339_S1_1_VRG.csv
0.986415811994838,0.7858669500899137,1.8315642973762154,12,11,220.0,0.9910019304659601,24.1689090641497,384.0,184.0,1.0014885069121189,30.651310158022472,304.0,430,1,2,S_1430_S2_1_VRG.csv
0.9417645085541765,0.1821586221509425,1.732180975349909,12,11,300.0,1.0045577606259002,132.09783318094327,656.0,216.0,1.0220013626462536,55.822023943285394,404.0,405,1,2,S_1405_S2_1_VRG.csv
0.645178300705293,0.565447705065036,1.6506771133595297,10,11,212.0,0.7531573098810039,74.24765888982238,540.0,184.0,0.7003899742625147,84.25020139853257,300.0,280,1,2,S_1280_S2_1_VRG.csv
0.9505528047208844,0.7056853707592937,1.6716815480839191,11,11,232.0,1.961270720480413,57.56868167811846,468.0,188.0,1.9882092918840215,47.10031447391649,500.0,73,1,2,S_1073_S2_1_VRG.csv
0.7419053341344549,0.6642140284481456,1.761321188801765,11,11,72.0,1.0796237248448324,185.46103756089138,332.0,196.0,1.0261578486055003,48.20327477636255,324.0,244,3,1,S_3244_S1_1_VRG.csv
0.9947076287595198,0.7711482572033251,2.0939234161317977,12,11,236.0,1.1160148775782217,38.25284269421048,364.0,204.0,1.1935248595135233,20.815684872847683,376.0,92,3,2,S_3092_S2_1_VRG.csv
